MWP	ONames	GLON	GLAT	iXdiam	iYdiam	oXdiam	Reff	Thick	Ecc	PA	Hit	Disp	Flag	_RA.icrs	_DE.icrs
1G336766+002430	                    	336.766	+00.243	 0.981	  1.015	 1.451	 0.61	 0.47	 0.256	 13	 0.18	 0.004	   	248.3687	-47.5046
1G316589-008087	                    	316.589	-00.809	 1.372	  1.194	 2.350	 0.85	 0.98	 0.493	  1	 0.18	 0.003	   	221.6010	-60.5957
1G028445+003093	                    	028.445	+00.309	 1.270	  1.295	 2.658	 0.93	 1.39	 0.199	 14	 0.18	 0.003	   	280.5347	-03.8512
1G345494+003552	                    	345.494	+00.355	 1.155	  1.221	 1.849	 0.75	 0.69	 0.326	  8	 0.18	 0.003	2  	256.0798	-40.7438
1G337226+005733	                    	337.226	+00.573	 3.984	  3.943	 4.948	 2.21	 0.96	 0.144	 21	 0.18	 0.010	2  	248.4720	-46.9428
1G300134-001035	                    	300.134	-00.103	 2.241	  3.136	 3.433	 1.61	 1.19	 0.700	 46	 0.18	 0.011	1 2	186.7205	-62.8413
1G308751+005498	S144                	308.751	+00.550	 1.310	  1.313	 2.361	 0.88	 1.05	 0.072	  7	 0.18	 0.004	2  	205.2324	-61.7613
1G043793+001376	                    	043.793	+00.138	 0.657	  0.620	 1.105	 0.42	 0.45	 0.330	  6	 0.18	 0.002	   	287.7353	+09.7179
1G006439-008631	                    	006.439	-00.863	 2.114	  1.950	 2.887	 1.19	 0.77	 0.386	 22	 0.18	 0.005	   	270.8738	-23.8181
1G303580-006859	                    	303.580	-00.686	 2.085	  1.947	 3.352	 1.29	 1.27	 0.358	 28	 0.18	 0.009	   	194.3145	-63.5504
1G320348-008750	                    	320.348	-00.875	11.736	 11.158	14.880	 6.46	 3.14	 0.310	 39	 0.18	 0.042	   	228.2390	-58.8762
1G006533-001187	                    	006.533	-00.119	 0.661	  0.780	 1.128	 0.46	 0.47	 0.531	  9	 0.18	 0.002	   	270.2185	-23.3690
1G319434-003663	                    	319.434	-00.366	 1.074	  1.116	 1.826	 0.71	 0.75	 0.272	  4	 0.18	 0.003	2  	226.2148	-58.8953
1G332515+004760	                    	332.515	+00.476	 1.879	  2.530	 3.366	 1.43	 1.49	 0.670	  0	 0.18	 0.008	1  	243.5692	-50.3678
1G319132-004601	                    	319.132	-00.460	 1.166	  1.280	 1.945	 0.78	 0.78	 0.413	 34	 0.18	 0.006	   	225.7913	-59.1243
1G007350+000365	CN97                	007.350	+00.037	 0.575	  0.593	 1.005	 0.38	 0.43	 0.246	  3	 0.18	 0.003	   	270.5105	-22.5819
1G024446+006173	                    	024.446	+00.617	 4.373	  3.432	 5.922	 2.31	 1.55	 0.620	 48	 0.18	 0.007	   	278.4152	-07.2624
1G325514+001609	                    	325.514	+00.161	 0.746	  0.743	 1.594	 0.54	 0.85	 0.089	  0	 0.18	 0.001	   	235.0578	-55.1317
1G318913-001756	                    	318.913	-00.176	 0.758	  0.602	 1.418	 0.48	 0.66	 0.608	 20	 0.18	 0.002	   	225.1527	-58.9802
1G049381-003064	                    	049.381	-00.306	 1.514	  1.845	 2.348	 1.03	 0.83	 0.572	 36	 0.18	 0.007	   	290.8057	+14.4522
1G345715+001570	                    	345.715	+00.157	 1.246	  1.333	 2.169	 0.84	 0.92	 0.355	 35	 0.18	 0.009	2  	256.4643	-40.6878
1G344991-002642	                    	344.991	-00.264	 0.785	  0.841	 1.473	 0.55	 0.69	 0.358	 14	 0.18	 0.004	   	256.3288	-41.5191
1G028301-003903	                    	028.301	-00.390	 1.230	  1.061	 1.947	 0.73	 0.72	 0.507	 18	 0.18	 0.005	   	281.0920	-04.2987
1G020346-006190	                    	020.346	-00.619	 0.849	  0.816	 1.448	 0.55	 0.60	 0.274	 16	 0.18	 0.001	   	277.6056	-11.4695
1G012787-001663	N7                  	012.787	-00.166	 0.662	  0.736	 1.037	 0.43	 0.37	 0.436	 15	 0.18	 0.002	2  	273.5166	-17.9284
1G301998+008919	                    	301.998	+00.892	13.755	 12.582	22.415	 8.48	 8.66	 0.404	 21	 0.18	 0.056	1  	190.8724	-61.9653
1G017099+008791	N19                 	017.099	+00.879	 8.844	  8.647	11.902	 5.08	 3.06	 0.210	 28	 0.18	 0.114	1  	274.6929	-13.6385
1G349110-007745	                    	349.110	-00.775	 1.200	  1.112	 1.846	 0.72	 0.65	 0.378	 32	 0.18	 0.003	   	260.0322	-38.4884
1G325861-005195	                    	325.861	-00.519	 5.350	  5.250	 7.554	 3.15	 2.20	 0.193	 36	 0.18	 0.007	1  	236.2656	-55.4635
1G031117+007214	                    	031.117	+00.721	 1.394	  1.343	 2.137	 0.85	 0.74	 0.268	 39	 0.18	 0.003	   	281.3899	-01.2862
1G015332-003686	                    	015.332	-00.369	 2.006	  1.815	 2.831	 1.14	 0.83	 0.425	 94	 0.18	 0.005	   	274.9667	-15.7854
1G016420-003700	                    	016.420	-00.370	 0.580	  0.586	 0.935	 0.37	 0.36	 0.135	  0	 0.18	 0.001	   	275.4989	-14.8262
1G009955-001741	                    	009.955	-00.174	 1.633	  1.640	 2.170	 0.94	 0.54	 0.093	  0	 0.18	 0.007	   	272.0793	-20.4139
1G009955-008790	                    	009.955	-00.879	 0.820	  0.735	 1.355	 0.51	 0.53	 0.443	  0	 0.18	 0.002	   	272.7385	-20.7549
1G330768-007026	                    	330.768	-00.703	 1.157	  1.322	 1.868	 0.78	 0.71	 0.484	 56	 0.18	 0.003	   	242.8244	-52.4235
1G003700-002742	                    	003.700	-00.274	 1.107	  1.128	 1.887	 0.73	 0.78	 0.191	 15	 0.18	 0.004	2  	268.8072	-25.8997
1G012670+006952	                    	012.670	+00.695	 2.201	  2.254	 3.548	 1.41	 1.35	 0.216	 19	 0.18	 0.020	   	272.6645	-17.6174
1G051833+004365	                    	051.833	+00.437	 2.289	  2.260	 3.463	 1.40	 1.17	 0.159	 23	 0.18	 0.030	2  	291.3316	+16.9638
1G037556-001081	                    	037.556	-00.108	 0.688	  0.696	 1.299	 0.47	 0.61	 0.152	  6	 0.18	 0.003	   	285.0679	+04.0651
1G041232-001989	                    	041.232	-00.199	 0.684	  0.660	 1.224	 0.45	 0.54	 0.262	 21	 0.18	 0.002	2  	286.8434	+07.2900
1G053179+001558	                    	053.179	+00.156	 3.818	  3.848	 6.261	 2.45	 2.44	 0.125	 35	 0.18	 0.020	1  	292.2630	+18.0133
1G352159-004094	                    	352.159	-00.409	 4.513	  6.118	 7.647	 3.35	 3.13	 0.675	 47	 0.18	 0.020	   	261.8113	-35.7647
1G317417+006270	                    	317.417	+00.627	 2.679	  2.635	 3.790	 1.58	 1.11	 0.181	 30	 0.18	 0.009	2  	221.8602	-58.9432
1G305535-000477	                    	305.535	-00.048	 2.196	  2.294	 4.380	 1.58	 2.18	 0.289	 43	 0.18	 0.012	   	198.5626	-62.8044
1G054717-001433	                    	054.717	-00.143	 1.112	  1.170	 1.878	 0.74	 0.77	 0.310	 39	 0.18	 0.004	   	293.3205	+19.2177
1G035423-002733	                    	035.423	-00.273	 0.660	  0.640	 1.275	 0.45	 0.62	 0.240	 34	 0.18	 0.003	   	284.2390	+02.0923
1G011885-002641	                    	011.885	-00.264	 1.430	  1.415	 2.353	 0.91	 0.92	 0.144	  1	 0.18	 0.004	   	273.1518	-18.7670
1G000497+001599	CN13                	000.497	+00.160	 1.095	  1.166	 1.714	 0.70	 0.62	 0.345	 15	 0.18	 0.004	   	266.5442	-28.4285
1G045408-005104	                    	045.408	-00.510	 0.781	  0.688	 1.525	 0.52	 0.74	 0.474	 25	 0.18	 0.005	   	289.0803	+10.8477
1G027814-002424	                    	027.814	-00.242	 0.625	  0.677	 0.931	 0.39	 0.31	 0.385	  0	 0.18	 0.001	   	280.7368	-04.6643
1G002270+002402	                    	002.270	+00.240	 4.660	  4.573	 6.775	 2.79	 2.11	 0.193	  8	 0.18	 0.016	   	267.5009	-26.8691
1G311987+005183	                    	311.987	+00.518	 2.565	  3.108	 3.576	 1.65	 1.01	 0.565	 14	 0.18	 0.013	   	211.8105	-61.0140
1G309467-001070	                    	309.467	-00.107	 0.656	  0.648	 1.199	 0.44	 0.54	 0.155	  0	 0.18	 0.003	   	207.0118	-62.2583
1G043118-000472	                    	043.118	-00.047	 1.511	  1.598	 2.463	 0.99	 0.95	 0.325	 16	 0.18	 0.007	1 2	287.5855	+09.0338
1G053833+004130	                    	053.833	+00.413	 2.910	  2.812	 4.745	 1.83	 1.83	 0.258	 18	 0.18	 0.006	   	292.3552	+18.7105
1G326411+000166	                    	326.411	+00.017	 0.988	  0.826	 1.663	 0.60	 0.68	 0.548	 19	 0.18	 0.004	   	236.4514	-54.7029
1G013078-003131	                    	013.078	-00.313	 0.594	  0.610	 1.317	 0.45	 0.72	 0.228	  6	 0.18	 0.002	   	273.7983	-17.7429
1G036382+000172	                    	036.382	+00.017	 1.049	  1.045	 1.668	 0.66	 0.62	 0.087	 37	 0.18	 0.004	   	284.4190	+03.0779
1G026137-000346	                    	026.137	-00.035	 1.549	  1.577	 2.431	 0.98	 0.88	 0.187	  5	 0.18	 0.006	   	279.7808	-06.0605
1G353016+005427	                    	353.016	+00.543	 3.276	  3.184	 6.082	 2.21	 2.81	 0.236	 49	 0.18	 0.011	   	261.4308	-34.5222
1G028814+002505	                    	028.814	+00.250	 2.938	  3.127	 4.157	 1.80	 1.22	 0.343	 28	 0.18	 0.022	   	280.7564	-03.5500
1G312538+000614	S129                	312.538	+00.061	 0.535	  0.542	 0.938	 0.36	 0.40	 0.160	 14	 0.18	 0.002	   	213.1835	-61.2853
1G041803+000946	                    	041.803	+00.095	 1.365	  1.300	 2.313	 0.87	 0.95	 0.305	  2	 0.18	 0.005	   	286.8452	+07.9323
1G044669-005153	                    	044.669	-00.515	 0.833	  0.881	 1.404	 0.55	 0.57	 0.327	 19	 0.18	 0.002	   	288.7350	+10.1914
1G341596+000657	                    	341.596	+00.066	 0.586	  0.808	 0.911	 0.42	 0.32	 0.689	 75	 0.18	 0.001	   	253.1101	-43.9792
1G031815-001194	                    	031.815	-00.119	 1.688	  1.728	 2.612	 1.06	 0.92	 0.213	 17	 0.18	 0.007	2  	282.4561	-01.0483
1G045071-006468	                    	045.071	-00.647	 2.189	  1.802	 3.395	 1.26	 1.21	 0.568	 19	 0.18	 0.010	   	289.0439	+10.4857
1G295716-003386	                    	295.716	-00.339	 1.000	  0.937	 2.090	 0.71	 1.09	 0.350	 21	 0.18	 0.006	2  	177.1675	-62.3281
1G029237-008798	                    	029.237	-00.880	 0.770	  0.926	 1.381	 0.56	 0.61	 0.556	 23	 0.18	 0.002	   	281.9573	-03.6896
1G351048-003231	CS91                	351.048	-00.323	 1.052	  1.136	 1.774	 0.70	 0.72	 0.379	 28	 0.18	 0.005	   	260.9514	-36.6366
1G327784-006557	                    	327.784	-00.656	 0.551	  0.551	 0.990	 0.37	 0.44	 0.000	  0	 0.18	 0.001	2  	239.0214	-54.3644
1G337099+002057	                    	337.099	+00.206	 2.515	  2.595	 3.829	 1.57	 1.31	 0.246	 14	 0.18	 0.005	   	248.7423	-47.2848
1G024649-001131	                    	024.649	-00.113	 2.728	  2.655	 4.020	 1.64	 1.29	 0.230	 31	 0.18	 0.009	   	279.1628	-07.4183
1G336198+003856	                    	336.198	+00.386	 2.299	  2.184	 3.267	 1.34	 0.97	 0.313	 12	 0.18	 0.006	   	247.6375	-47.8217
1G010326-001222	CN148               	010.326	-00.122	 3.845	  4.082	 5.645	 2.39	 1.80	 0.336	 49	 0.18	 0.022	   	272.2227	-20.0642
1G024454+004725	                    	024.454	+00.472	 1.663	  1.419	 2.272	 0.91	 0.61	 0.521	 25	 0.18	 0.006	   	278.5487	-07.3222
1G335604-007809	                    	335.604	-00.781	 0.893	  0.919	 1.552	 0.60	 0.66	 0.235	 36	 0.18	 0.004	2  	248.3099	-49.0529
1G307608-005930	                    	307.608	-00.593	 1.377	  1.290	 2.070	 0.82	 0.69	 0.350	 20	 0.18	 0.004	   	203.2349	-63.0873
1G311280+002256	                    	311.280	+00.226	 0.876	  0.926	 1.464	 0.58	 0.59	 0.326	 36	 0.18	 0.002	2  	210.5692	-61.4923
1G020696-007627	                    	020.696	-00.763	 2.391	  2.518	 3.974	 1.57	 1.58	 0.314	 58	 0.18	 0.003	   	277.9010	-11.2259
1G300749+001023	                    	300.749	+00.102	 1.054	  1.045	 2.174	 0.75	 1.12	 0.136	 13	 0.18	 0.002	   	188.0975	-62.6890
1G044590+003597	                    	044.590	+00.360	 1.115	  1.087	 2.033	 0.75	 0.92	 0.223	  1	 0.18	 0.004	   	287.9097	+10.5272
1G034536-004391	                    	034.536	-00.439	 1.328	  1.198	 2.135	 0.81	 0.81	 0.431	 34	 0.18	 0.002	   	283.9818	+01.2273
1G343297+001732	                    	343.297	+00.173	 0.451	  0.452	 0.746	 0.29	 0.29	 0.059	  0	 0.18	 0.001	   	254.4643	-42.5888
1G039403-002365	                    	039.403	-00.236	 1.019	  1.145	 1.589	 0.67	 0.57	 0.456	 19	 0.18	 0.003	   	286.0309	+05.6484
1G016444-001945	                    	016.444	-00.195	 0.620	  0.620	 0.974	 0.39	 0.35	 0.047	  3	 0.18	 0.001	2  	275.3509	-14.7227
1G026859+003440	                    	026.859	+00.344	 3.258	  3.527	 4.504	 1.98	 1.25	 0.383	 64	 0.18	 0.026	   	279.7750	-05.2451
1G024174+004017	                    	024.174	+00.402	 0.574	  0.621	 0.956	 0.38	 0.38	 0.381	 12	 0.18	 0.002	2  	278.4812	-07.6029
1G339228+001939	                    	339.228	+00.194	 8.207	  7.827	10.987	 4.65	 2.78	 0.301	 41	 0.18	 0.027	1  	250.8159	-45.7051
1G335818+004387	                    	335.818	+00.439	 3.307	  3.479	 4.795	 2.03	 1.49	 0.311	 40	 0.18	 0.007	2  	247.1895	-48.0607
1G030431-002242	                    	030.431	-00.224	 1.233	  1.363	 2.246	 0.87	 1.01	 0.425	  8	 0.18	 0.002	2  	281.9180	-02.3278
1G311326+000592	                    	311.326	+00.059	 0.719	  0.780	 1.175	 0.48	 0.46	 0.390	 46	 0.18	 0.002	2  	210.7576	-61.6404
1G005824-009394	                    	005.824	-00.939	 1.001	  1.028	 1.499	 0.62	 0.50	 0.226	 57	 0.18	 0.002	   	270.6144	-24.3907
1G025236+002027	                    	025.236	+00.203	 0.871	  0.861	 1.310	 0.53	 0.44	 0.148	 29	 0.18	 0.003	   	279.1519	-06.7517
1G020483-006905	                    	020.483	-00.691	 0.557	  0.578	 1.024	 0.38	 0.47	 0.268	 25	 0.18	 0.002	   	277.7355	-11.3814
1G337993+000881	                    	337.993	+00.088	 0.466	  0.473	 0.757	 0.30	 0.29	 0.177	 31	 0.18	 0.001	2  	249.7504	-46.7014
1G329474+003750	                    	329.474	+00.375	 0.573	  0.586	 0.984	 0.38	 0.41	 0.209	  8	 0.18	 0.001	   	240.0623	-52.4844
1G003258-001163	                    	003.258	-00.116	 0.887	  0.728	 1.413	 0.52	 0.53	 0.572	  0	 0.18	 0.003	2  	268.4066	-26.2011
1G007429+006334	                    	007.429	+00.633	 1.022	  0.950	 1.676	 0.64	 0.65	 0.371	  2	 0.18	 0.003	2  	269.9929	-22.2179
1G343082+003148	                    	343.082	+00.315	 0.613	  0.597	 1.245	 0.43	 0.63	 0.222	  0	 0.18	 0.002	   	254.1311	-42.6683
1G019309-003739	                    	019.309	-00.374	 0.906	  0.882	 1.992	 0.67	 1.09	 0.230	  7	 0.18	 0.003	   	276.8921	-12.2743
1G316869+000194	S108                	316.869	+00.019	 3.778	  3.603	 5.443	 2.22	 1.66	 0.301	 44	 0.18	 0.028	1  	221.4000	-59.7273
1G310446+002210	                    	310.446	+00.221	 8.637	  8.247	12.689	 5.13	 4.05	 0.297	 29	 0.17	 0.046	1  	208.8777	-61.7124
1G312592-005035	                    	312.592	-00.503	 0.789	  0.754	 1.536	 0.54	 0.75	 0.294	 14	 0.17	 0.002	   	213.6611	-61.8042
1G025539+002162	                    	025.539	+00.216	 1.005	  1.197	 1.545	 0.67	 0.54	 0.542	 23	 0.17	 0.002	   	279.2804	-06.4766
1G333603-000099	                    	333.603	-00.010	 0.716	  0.691	 1.266	 0.47	 0.55	 0.265	 12	 0.17	 0.003	   	245.3156	-49.9575
1G319706-006867	                    	319.706	-00.687	 6.459	  6.385	10.775	 4.15	 4.32	 0.150	 41	 0.17	 0.045	   	226.9812	-59.0398
1G353308-002838	                    	353.308	-00.284	 0.650	  0.623	 1.187	 0.43	 0.54	 0.282	  5	 0.17	 0.002	   	262.4635	-34.7390
1G037831+002244	                    	037.831	+00.224	 3.122	  2.848	 4.572	 1.82	 1.45	 0.410	 10	 0.17	 0.006	   	284.8979	+04.4614
1G329425+008628	                    	329.425	+00.863	 0.664	  0.660	 1.330	 0.47	 0.67	 0.104	 18	 0.17	 0.001	2  	239.4825	-52.1454
1G046802-001238	                    	046.802	-00.124	 0.567	  0.595	 1.121	 0.41	 0.55	 0.308	 37	 0.17	 0.003	   	289.3957	+12.2608
1G322034-000643	                    	322.034	-00.064	 0.833	  0.821	 1.327	 0.52	 0.49	 0.168	 14	 0.17	 0.003	   	230.1401	-57.2980
1G031748-000405	                    	031.748	-00.041	 3.078	  3.189	 4.393	 1.87	 1.32	 0.262	 37	 0.17	 0.007	2  	282.3561	-01.0724
1G320403+000587	                    	320.403	+00.059	 1.283	  1.369	 2.135	 0.85	 0.85	 0.349	 13	 0.17	 0.011	2  	227.4186	-58.0447
1G336763+000876	                    	336.763	+00.088	 5.654	  4.301	 8.186	 3.06	 2.53	 0.649	 18	 0.17	 0.027	1  	248.5343	-47.6120
1G048933-002093	                    	048.933	-00.209	 2.963	  3.590	 4.523	 1.99	 1.56	 0.565	 30	 0.17	 0.013	2  	290.4994	+14.1030
1G317404+000973	                    	317.404	+00.097	 1.386	  1.482	 2.501	 0.96	 1.11	 0.355	 36	 0.17	 0.010	2  	222.2868	-59.4262
1G035538+000410	                    	035.538	+00.041	 1.530	  1.648	 2.170	 0.94	 0.64	 0.372	 11	 0.17	 0.006	   	284.0119	+02.3379
1G321799-005406	                    	321.799	-00.541	 1.249	  1.271	 1.947	 0.79	 0.70	 0.184	 38	 0.17	 0.004	   	230.2513	-57.8263
1G338329-002923	                    	338.329	-00.292	 0.644	  0.651	 1.182	 0.44	 0.54	 0.146	 19	 0.17	 0.001	   	250.4901	-46.7018
1G012910+004757	                    	012.910	+00.476	 0.779	  0.777	 1.435	 0.53	 0.66	 0.071	 15	 0.17	 0.003	   	272.9871	-17.5126
1G041236-001741	                    	041.236	-00.174	 2.146	  2.178	 3.514	 1.38	 1.37	 0.172	 14	 0.17	 0.008	1  	286.8229	+07.3051
1G336268+002865	                    	336.268	+00.286	 2.655	  2.858	 4.101	 1.70	 1.45	 0.370	 27	 0.17	 0.013	2  	247.8175	-47.8393
1G323896+001165	                    	323.896	+00.117	 0.845	  0.795	 1.345	 0.52	 0.50	 0.339	 31	 0.17	 0.004	   	232.7783	-56.1134
1G327358-001056	                    	327.358	-00.106	 0.761	  0.711	 1.340	 0.49	 0.58	 0.354	  9	 0.17	 0.003	2  	237.8591	-54.2106
1G029679-005099	                    	029.679	-00.510	 0.946	  0.934	 1.715	 0.63	 0.77	 0.159	 21	 0.17	 0.003	   	281.8294	-03.1275
1G057289-001527	                    	057.289	-00.153	 0.640	  0.651	 1.191	 0.44	 0.55	 0.187	 11	 0.17	 0.003	   	294.6666	+21.4588
1G048921-002823	                    	048.921	-00.282	 0.963	  0.873	 2.116	 0.69	 1.15	 0.421	  2	 0.17	 0.003	   	290.5600	+14.0580
1G341137-001890	S24                 	341.137	-00.189	 5.263	  4.835	10.704	 3.64	 5.44	 0.395	  9	 0.17	 0.032	1  	252.9778	-44.4956
1G311567+002390	                    	311.567	+00.239	 0.939	  0.866	 1.485	 0.57	 0.55	 0.386	 12	 0.17	 0.004	   	211.1390	-61.4008
1G326309-000597	                    	326.309	-00.060	 3.209	  3.200	 4.512	 1.90	 1.30	 0.074	 67	 0.17	 0.012	   	236.3936	-54.8263
1G353563-000263	                    	353.563	-00.026	 2.897	  2.738	 4.602	 1.78	 1.70	 0.327	 27	 0.17	 0.025	   	262.3731	-34.3840
1G029477+002419	                    	029.477	+00.242	 0.623	  0.638	 1.185	 0.43	 0.56	 0.219	  9	 0.17	 0.002	2  	281.0670	-02.9639
1G298799-005638	                    	298.799	-00.564	 1.603	  1.583	 2.605	 1.02	 1.00	 0.160	 52	 0.17	 0.005	   	183.6810	-63.1408
1G358084-001571	                    	358.084	-00.157	 0.480	  0.465	 0.775	 0.30	 0.30	 0.244	  0	 0.17	 0.001	   	265.4005	-30.6496
1G331688+001606	                    	331.688	+00.161	 1.106	  0.921	 1.778	 0.65	 0.67	 0.553	  3	 0.17	 0.003	   	242.9592	-51.1642
1G007238+005692	                    	007.238	+00.569	 0.801	  0.701	 1.282	 0.48	 0.48	 0.483	  8	 0.17	 0.003	   	269.9503	-22.4154
1G351558+001672	                    	351.558	+00.167	 0.657	  0.672	 1.106	 0.43	 0.45	 0.210	  0	 0.17	 0.001	2  	260.8070	-35.9390
1G317029-008562	                    	317.029	-00.856	 1.513	  1.425	 2.385	 0.93	 0.87	 0.336	 20	 0.17	 0.003	   	222.4479	-60.4472
1G023870-000986	                    	023.870	-00.099	 1.302	  1.325	 1.926	 0.80	 0.62	 0.185	 65	 0.17	 0.011	   	278.7887	-08.1035
1G007469-002748	                    	007.469	-00.275	 0.797	  0.838	 1.226	 0.50	 0.43	 0.307	  7	 0.17	 0.002	2  	270.8681	-22.6322
1G309392-001164	                    	309.392	-00.116	 0.679	  0.688	 1.213	 0.46	 0.53	 0.157	 35	 0.17	 0.003	   	206.8586	-62.2833
1G308622+005295	                    	308.622	+00.529	 8.756	  8.663	13.288	 5.37	 4.53	 0.146	 26	 0.17	 0.044	1  	204.9729	-61.8063
1G339509+006575	                    	339.509	+00.657	 0.992	  0.986	 2.205	 0.74	 1.21	 0.106	  4	 0.17	 0.003	   	250.5820	-45.1889
1G332316+000812	                    	332.316	+00.081	 1.188	  1.377	 1.726	 0.76	 0.54	 0.506	 11	 0.17	 0.003	   	243.7715	-50.7911
1G031020+001737	                    	031.020	+00.174	 2.117	  2.060	 3.696	 1.38	 1.58	 0.231	 22	 0.17	 0.010	   	281.8325	-01.6221
1G005977-004255	                    	005.977	-00.426	 0.722	  0.709	 1.218	 0.47	 0.50	 0.191	 14	 0.17	 0.002	2  	270.2086	-24.0040
1G040163-009461	                    	040.163	-00.946	 1.253	  1.955	 2.350	 1.04	 1.10	 0.768	 22	 0.17	 0.007	   	287.0158	+05.9972
1G021377-002937	                    	021.377	-00.294	 0.538	  0.512	 1.319	 0.41	 0.78	 0.308	  0	 0.17	 0.002	   	277.7983	-10.4052
1G023550-000348	                    	023.550	-00.035	 0.736	  0.802	 1.295	 0.51	 0.56	 0.399	 28	 0.17	 0.003	2  	278.5824	-08.3581
1G058124+009100	                    	058.124	+00.910	 0.725	  0.762	 1.140	 0.46	 0.41	 0.308	 21	 0.17	 0.002	   	294.1072	+22.7072
1G321263-002898	                    	321.263	-00.290	 0.970	  1.115	 1.525	 0.65	 0.55	 0.492	 22	 0.17	 0.003	   	229.1473	-57.9001
1G006403-008324	                    	006.403	-00.832	 2.349	  2.171	 3.370	 1.36	 1.02	 0.381	 58	 0.17	 0.010	   	270.8249	-23.8342
1G332514+004702	                    	332.514	+00.470	 0.817	  0.798	 1.448	 0.54	 0.63	 0.214	 12	 0.17	 0.001	2  	243.5746	-50.3728
1G031055-001228	                    	031.055	-00.123	 0.867	  0.863	 1.639	 0.60	 0.77	 0.097	  3	 0.17	 0.002	   	282.1129	-01.7265
1G012892-002286	                    	012.892	-00.229	 2.603	  2.756	 4.124	 1.68	 1.52	 0.329	 15	 0.17	 0.011	1  	273.6275	-17.8663
1G303830+001104	                    	303.830	+00.110	 1.054	  1.047	 1.655	 0.66	 0.60	 0.113	 15	 0.17	 0.005	   	194.8211	-62.7481
1G007810-006101	                    	007.810	-00.610	 3.120	  3.368	 4.800	 2.00	 1.68	 0.377	 20	 0.17	 0.013	   	271.3654	-22.4994
1G018908-003146	N24                 	018.908	-00.315	19.772	 16.021	28.595	10.93	 8.82	 0.586	 29	 0.17	 0.094	1  	276.6474	-12.6017
1G012930-000811	                    	012.930	-00.081	 0.819	  0.729	 1.529	 0.54	 0.71	 0.456	 33	 0.17	 0.004	   	273.5100	-17.7621
1G023686+002223	                    	023.686	+00.222	 0.765	  0.766	 1.282	 0.50	 0.52	 0.047	  0	 0.17	 0.001	   	278.4153	-08.1189
1G037265-007672	                    	037.265	-00.767	 2.205	  1.895	 3.915	 1.39	 1.71	 0.512	 24	 0.17	 0.016	   	285.5218	+03.5048
1G334481+000574	                    	334.481	+00.057	 1.450	  1.437	 2.081	 0.87	 0.63	 0.137	 12	 0.17	 0.003	   	246.1969	-49.2871
1G037178-004437	                    	037.178	-00.444	 1.142	  1.241	 1.949	 0.77	 0.81	 0.391	  9	 0.17	 0.004	2  	285.1941	+03.5753
1G006548-005064	                    	006.548	-00.506	 0.782	  0.747	 1.336	 0.50	 0.55	 0.293	  4	 0.17	 0.003	   	270.5932	-23.5474
1G353035-000852	                    	353.035	-00.085	 1.118	  1.087	 1.688	 0.68	 0.57	 0.233	 20	 0.17	 0.003	   	262.0778	-34.8564
1G352696-002999	                    	352.696	-00.300	 0.977	  1.065	 1.738	 0.67	 0.76	 0.398	  5	 0.17	 0.004	   	262.0666	-35.2577
1G331787+001113	                    	331.787	+00.111	 1.260	  0.969	 2.154	 0.75	 0.89	 0.639	112	 0.17	 0.005	   	243.1289	-51.1330
1G024500-000354	                    	024.500	-00.035	 0.711	  0.708	 1.268	 0.47	 0.56	 0.099	 17	 0.17	 0.003	   	279.0239	-07.5147
1G024731+001580	                    	024.731	+00.158	 1.186	  1.407	 1.891	 0.81	 0.70	 0.538	 17	 0.17	 0.004	   	278.9582	-07.2208
1G335993+008277	                    	335.993	+00.828	 3.790	  3.871	 6.273	 2.46	 2.48	 0.204	 24	 0.17	 0.007	   	246.9514	-47.6652
1G333664-001096	                    	333.664	-00.110	 2.897	  2.522	 4.769	 1.76	 1.87	 0.492	 61	 0.17	 0.005	2  	245.4926	-49.9851
1G043267-001875	N88                 	043.267	-00.187	 2.838	  2.464	 4.166	 1.62	 1.33	 0.496	 25	 0.17	 0.010	   	287.7809	+09.1012
1G024360+000496	                    	024.360	+00.050	 1.212	  1.187	 2.092	 0.79	 0.88	 0.201	 25	 0.17	 0.004	2  	278.8828	-07.5999
1G305265-000066	S155                	305.265	-00.007	 1.785	  1.727	 3.069	 1.16	 1.28	 0.254	 21	 0.17	 0.005	   	197.9666	-62.7862
1G007757-000476	CN106               	007.757	-00.048	 0.927	  0.924	 1.546	 0.60	 0.62	 0.083	 26	 0.17	 0.004	   	270.8077	-22.2698
1G012728-002124	                    	012.728	-00.212	 0.842	  0.844	 1.487	 0.56	 0.65	 0.078	 17	 0.17	 0.002	   	273.5294	-18.0022
1G359857-002725	                    	359.857	-00.273	 1.178	  1.247	 1.849	 0.76	 0.67	 0.328	  7	 0.17	 0.004	   	266.5866	-29.2003
1G303451-005500	                    	303.451	-00.550	 1.080	  1.018	 1.937	 0.71	 0.86	 0.333	 11	 0.17	 0.004	   	194.0195	-63.4171
1G023798+002263	                    	023.798	+00.226	 2.718	  2.764	 4.110	 1.68	 1.39	 0.182	 15	 0.17	 0.010	   	278.4638	-08.0177
1G301508-003621	                    	301.508	-00.362	 1.733	  1.954	 2.918	 1.18	 1.18	 0.462	 37	 0.17	 0.007	1 2	189.7003	-63.1988
1G298213+001103	                    	298.213	+00.110	 1.353	  1.912	 2.179	 1.00	 0.83	 0.706	134	 0.17	 0.003	   	182.6359	-62.3865
